Timestamp,Server_Workload(%),Inlet_Temperature(°C),Outlet_Temperature(°C),Ambient_Temperature(°C),Cooling_Unit_Power_Consumption(kW),Chiller_Usage(%),AHU_Usage(%),Total_Energy_Cost($),Temperature_Deviation(°C),Cooling_Strategy_Action,Output,scenario,severity,failure_point,sensor_status,data_quality,is_outlier,event_id
2026-07-20 14:01:53.557-07,47.31,17.64,22.38,24.57,0.710,56.85,50.71,0.1100,0.57,Increase Chiller,0,legacy,info,,online,valid,f,a0adf201-ce89-4ef9-a4f2-89af411e337d
2026-07-20 14:01:53.662-07,53.82,20.30,24.28,25.20,0.620,44.85,51.37,0.0800,1.20,Reduce AHU,1,legacy,info,,online,valid,f,2e192f6c-16f5-4935-b535-85c24dcd2d3c
2026-07-20 14:01:53.767-07,90.66,25.32,29.98,23.77,0.980,93.73,46.28,0.1100,0.23,Eco Mode,4,legacy,info,,online,valid,f,bc78a2a6-5bb8-4be5-87d3-3874799b8b7b
2026-07-20 14:01:53.874-07,95.27,25.34,28.77,21.76,0.910,85.59,45.34,0.0800,2.24,Increase Chiller,0,legacy,info,,online,valid,f,50d0812d-609a-4769-a095-d204571dae5c
2026-07-20 14:01:53.98-07,30.24,17.48,20.95,22.05,0.560,40.24,48.10,0.0600,1.95,Boost All,3,legacy,info,,online,valid,f,2ef824e0-eba6-4663-a7e7-dfc7b59c0f59
2026-07-20 14:01:54.087-07,48.27,20.84,27.63,22.34,0.550,41.03,44.14,0.0800,1.66,Reduce AHU,1,legacy,info,,online,valid,f,5adf968c-db54-4d61-8d9c-152f91bb7aad
2026-07-20 14:01:54.192-07,50.52,20.87,24.55,23.45,0.690,60.38,42.27,0.1000,0.55,Maintain,2,legacy,info,,online,valid,f,a65293d1-8558-4089-a679-07c8ba6219e7
2026-07-20 14:01:54.3-07,86.73,22.90,25.93,25.27,1.010,91.77,54.44,0.1400,1.27,Maintain,2,legacy,info,,online,valid,f,568ed0b7-3aa4-4fa7-acaa-a9b3fbc6846d
2026-07-20 14:01:54.405-07,61.29,20.11,25.43,26.39,0.850,71.08,56.98,0.1000,2.39,Increase Chiller,0,legacy,info,,online,valid,f,ebfc5445-b339-47db-9fd3-d5079612f418
2026-07-20 14:01:54.51-07,50.05,19.90,25.68,23.68,0.570,41.41,47.42,0.0700,0.32,Maintain,2,legacy,info,,online,valid,f,c8b0f6d4-701b-425b-b2c6-1af5342afcaa
2026-07-20 14:01:54.615-07,78.57,22.92,28.79,25.12,0.890,77.17,54.24,0.0900,1.12,Maintain,2,legacy,info,,online,valid,f,8ea63058-dbf7-4dd4-a0a5-4a5517fc7142
2026-07-20 14:01:54.723-07,82.51,23.62,30.28,29.76,0.880,74.61,56.05,0.1200,5.76,Boost All,3,legacy,info,,online,valid,f,aa4d5c80-f572-4037-8196-749870c3bb33
2026-07-20 14:01:54.83-07,56.39,20.96,26.04,23.44,0.700,59.11,45.59,0.0900,0.56,Maintain,2,legacy,info,,online,valid,f,062f95ca-cd6e-495f-80e8-956fd04ff23b
2026-07-20 14:01:54.936-07,68.63,21.73,26.44,29.17,0.870,74.93,54.14,0.1000,5.17,Increase Chiller,0,legacy,info,,online,valid,f,d0e57f25-575a-497d-a406-fd244688df31
2026-07-20 14:01:55.043-07,100.00,24.68,29.52,20.06,0.980,100.00,35.16,0.1000,3.94,Increase Chiller,0,legacy,info,,online,valid,f,ab3d49d9-dcc3-4b68-bc14-ef5ebd5ee52f
2026-07-20 14:01:55.15-07,29.31,18.20,25.02,21.89,0.510,35.04,45.19,0.0500,2.11,Increase Chiller,0,legacy,info,,online,valid,f,32610735-31af-4d4f-9c7b-f847ef72d203
2026-07-20 14:01:55.253-07,35.00,17.99,23.96,18.00,0.490,38.72,36.89,0.0700,6.00,Boost All,3,legacy,info,,online,valid,f,b7aebec2-5b55-41e2-8759-8308bc802326
2026-07-20 14:01:55.356-07,50.63,20.44,28.66,19.18,0.520,41.22,37.46,0.0700,4.82,Reduce AHU,1,legacy,info,,online,valid,f,9c7ac8f0-2465-4e88-9068-3e53ac9d9925
2026-07-20 14:01:55.463-07,72.57,22.91,27.30,30.02,0.900,71.81,65.03,0.0900,6.02,Boost All,3,legacy,info,,online,valid,f,72af0724-b6bc-4179-a67c-a1746d686e48
2026-07-20 14:01:55.567-07,66.10,20.60,24.78,22.64,0.750,66.42,44.48,0.0600,1.36,Maintain,2,legacy,info,,online,valid,f,c1b54a50-719a-47eb-ad11-fcb8813685c9
2026-07-20 14:01:55.673-07,56.71,22.69,27.08,20.23,0.620,48.95,44.74,0.0700,3.77,Reduce AHU,1,legacy,info,,online,valid,f,72573e54-561f-4000-ae6b-ee1a2f6697b3
2026-07-20 14:01:55.78-07,55.07,19.88,25.94,23.33,0.760,65.00,47.27,0.1000,0.67,Maintain,2,legacy,info,,online,valid,f,d5a99d9f-6c31-4ded-9baa-1b7dcb7b2016
2026-07-20 14:01:55.882-07,69.32,21.66,23.21,25.30,0.820,67.81,54.64,0.1200,1.30,Boost All,3,legacy,info,,online,valid,f,028fbb4a-e76a-499f-be64-10c8fdfbf3a5
2026-07-20 14:01:55.984-07,87.36,24.42,28.08,25.45,0.940,87.92,46.37,0.1000,1.45,Boost All,3,legacy,info,,online,valid,f,aee6dc13-b02b-44c1-a49d-af22ea5a2eb9
2026-07-20 14:01:56.089-07,72.04,23.04,28.72,22.35,0.760,65.46,47.88,0.1100,1.65,Increase Chiller,0,legacy,info,,online,valid,f,3c3d6cdf-c8d7-490d-9a20-27564efc5a75
2026-07-20 14:01:56.195-07,43.08,20.03,25.08,21.93,0.520,39.11,40.84,0.0500,2.07,Reduce AHU,1,legacy,info,,online,valid,f,06619a70-7417-411d-9aae-2084b939a04f
2026-07-20 14:01:56.304-07,80.18,23.74,29.92,22.52,0.800,71.95,45.15,0.0900,1.48,Increase Chiller,0,legacy,info,,online,valid,f,ad30c935-8405-43f8-b648-64661df84712
2026-07-20 14:01:56.41-07,57.12,20.58,24.72,24.66,0.620,47.99,46.36,0.0600,0.66,Reduce AHU,1,legacy,info,,online,valid,f,5f195237-7903-492e-b087-035bdff11196
2026-07-20 14:01:56.515-07,55.01,20.90,25.13,26.36,0.680,48.60,57.37,0.0800,2.36,Maintain,2,legacy,info,,online,valid,f,91dc03d0-3430-4d72-92bc-e0e5949b9ebb
2026-07-20 14:01:56.622-07,51.51,19.35,26.06,25.31,0.710,59.71,46.63,0.0600,1.31,Boost All,3,legacy,info,,online,valid,f,4d9b882b-b5eb-4549-bc94-8209cdcdc4d5
2026-07-20 14:01:56.729-07,36.30,17.55,19.21,20.91,0.430,27.23,41.68,0.0600,3.09,Increase Chiller,0,legacy,info,,online,valid,f,2c9d6a4d-ecc2-4e48-9b63-56a224e1547e
2026-07-20 14:01:56.831-07,60.18,22.74,26.35,24.13,0.720,59.85,48.76,0.1100,0.13,Reduce AHU,1,legacy,info,,online,valid,f,f172b6fc-3780-411f-8b78-dd8ed6175391
2026-07-20 14:01:56.934-07,41.41,19.22,24.32,19.20,0.610,49.30,42.49,0.0800,4.80,Boost All,3,legacy,info,,online,valid,f,dadc00ee-2bef-434b-9bbf-91ff9eaf975a
2026-07-20 14:01:57.039-07,100.00,24.37,31.45,22.21,1.040,100.00,48.52,0.0900,1.79,Boost All,3,legacy,info,,online,valid,f,4ffa91ef-7f8e-439b-af8a-44eb989fcd54
2026-07-20 14:01:57.147-07,51.77,19.55,21.11,26.28,0.730,57.58,53.26,0.0600,2.28,Increase Chiller,0,legacy,info,,online,valid,f,a682b6f5-ff44-4128-a954-a8c85d9e9c98
2026-07-20 14:01:57.254-07,50.78,20.93,28.56,23.99,0.640,50.11,48.58,0.0600,0.01,Reduce AHU,1,legacy,info,,online,valid,f,1a4e843a-b81c-4213-93a5-c41374009dcf
2026-07-20 14:01:57.359-07,53.73,21.16,27.59,21.18,0.580,44.84,44.96,0.0700,2.82,Boost All,3,legacy,info,,online,valid,f,820774b0-afa2-4270-8847-59b06a506165
2026-07-20 14:01:57.465-07,72.70,21.13,27.39,19.23,0.720,65.33,38.54,0.0700,4.77,Boost All,3,legacy,info,,online,valid,f,39ef01e9-d852-4d5d-9a9f-24e9ccb3ab13
2026-07-20 14:01:57.569-07,56.67,22.10,29.16,25.73,0.780,65.95,49.62,0.1100,1.73,Eco Mode,4,legacy,info,,online,valid,f,475a62f1-5c68-4599-ab64-b1560bb1eb0b
2026-07-20 14:01:57.674-07,77.79,23.52,26.50,22.73,0.850,80.27,41.11,0.0900,1.27,Eco Mode,4,legacy,info,,online,valid,f,70cafe92-2f85-4697-9b36-ef0bcc16ffbb
2026-07-20 14:01:57.78-07,78.30,22.00,25.38,24.64,0.930,82.84,53.02,0.1300,0.64,Eco Mode,4,legacy,info,,online,valid,f,e6c897b9-b752-47e6-8b8a-32d61f66458b
2026-07-20 14:01:57.885-07,95.46,24.52,32.00,21.57,1.020,98.02,47.63,0.0900,2.43,Reduce AHU,1,legacy,info,,online,valid,f,2ead91bc-bf5b-4c41-bfac-5b0f8c757088
2026-07-20 14:01:57.991-07,44.81,19.20,24.88,19.20,0.570,44.54,42.22,0.0600,4.80,Maintain,2,legacy,info,,online,valid,f,29b44adf-1ab9-48c1-ad73-ec81d160e705
2026-07-20 14:01:58.097-07,51.42,19.94,27.89,21.63,0.600,48.33,41.93,0.0500,2.37,Boost All,3,legacy,info,,online,valid,f,84cadb20-2659-4f61-ac2e-24a3277137f5
2026-07-20 14:01:58.203-07,68.73,23.05,28.05,24.79,0.760,66.18,46.00,0.1000,0.79,Boost All,3,legacy,info,,online,valid,f,6ae496cb-d14a-4baf-983a-656b71a3843f
2026-07-20 14:01:58.309-07,49.40,19.27,22.66,28.96,0.710,51.48,59.97,0.0600,4.96,Eco Mode,4,legacy,info,,online,valid,f,f791ffa2-85e4-498e-b60e-c769d2b7dcaf
2026-07-20 14:01:58.415-07,72.83,23.41,30.29,24.44,0.840,74.73,48.39,0.1200,0.44,Maintain,2,legacy,info,,online,valid,f,dd4778a1-0a1a-4ff3-ab43-22b7a3fab4d6
2026-07-20 14:01:58.522-07,25.80,17.71,20.85,23.21,0.470,31.12,43.88,0.0600,0.79,Boost All,3,legacy,info,,online,valid,f,09dd5e56-1f5a-40b4-8224-19d11a087972
2026-07-20 14:01:58.628-07,45.47,19.17,22.84,23.35,0.570,41.26,48.59,0.0600,0.65,Reduce AHU,1,legacy,info,,online,valid,f,7ad15580-6de9-4f76-90a7-0a67cec72f27
2026-07-20 14:01:58.734-07,70.31,24.45,26.09,21.59,0.700,61.01,41.62,0.0800,2.41,Reduce AHU,1,legacy,info,,online,valid,f,7c1fabe1-8c2e-4aef-95d5-186f8175bf38
2026-07-20 14:01:58.84-07,61.39,22.03,31.05,23.47,0.690,57.42,46.30,0.1000,0.53,Eco Mode,4,legacy,info,,online,valid,f,38d9bb92-bd2e-40c4-86e5-4480bf42618d
2026-07-20 14:01:58.944-07,51.60,20.44,28.45,26.10,0.730,58.19,52.69,0.1000,2.10,Eco Mode,4,legacy,info,,online,valid,f,22d5f850-67f6-4c75-b74f-e81ef1d86364
2026-07-20 14:01:59.049-07,58.68,20.48,24.44,26.94,0.660,49.38,53.64,0.0800,2.94,Boost All,3,legacy,info,,online,valid,f,961e4815-6b7f-41fe-a9ee-3d6238b80baa
2026-07-20 14:01:59.156-07,60.79,19.68,23.76,26.25,0.720,54.21,57.21,0.1000,2.25,Increase Chiller,0,legacy,info,,online,valid,f,a322b352-0ba6-43eb-aa0b-3fe2ee878e37
2026-07-20 14:01:59.262-07,100.00,26.02,32.06,26.21,1.080,100.00,56.88,0.0900,2.21,Increase Chiller,0,legacy,info,,online,valid,f,fc82dd90-d487-4095-8dfc-eb7ee1522f78
2026-07-20 14:01:59.368-07,36.24,18.74,23.80,22.29,0.560,44.97,40.47,0.0800,1.71,Reduce AHU,1,legacy,info,,online,valid,f,e39dc946-8ca1-4b85-8e19-63926b0355d2
2026-07-20 14:01:59.475-07,79.93,22.35,25.10,25.48,0.950,89.03,47.39,0.0800,1.48,Eco Mode,4,legacy,info,,online,valid,f,6c47b92a-3579-4642-8f5f-a0a971f9b55f
2026-07-20 14:01:59.58-07,100.00,23.21,28.30,27.61,1.070,96.75,59.87,0.1500,3.61,Reduce AHU,1,legacy,info,,online,valid,t,8162204d-53f8-434c-8ce7-94c940161d22
2026-07-20 14:01:59.684-07,75.59,21.71,29.86,24.20,0.860,76.16,50.55,0.0800,0.20,Increase Chiller,0,legacy,info,,online,valid,f,4ef812db-5917-4d9a-ba50-708495017a70
2026-07-20 14:01:59.789-07,57.65,20.35,29.82,26.31,0.720,58.01,51.77,0.0900,2.31,Eco Mode,4,legacy,info,,online,valid,f,0f60deae-b288-4620-b7df-e161a871f746
2026-07-20 14:01:59.896-07,70.76,23.37,28.44,23.48,0.830,76.86,43.48,0.1200,0.52,Eco Mode,4,legacy,info,,online,valid,f,55c3df20-3a84-4efa-b988-a5b8248160a6
2026-07-20 14:02:00-07,98.23,23.97,29.22,30.95,1.100,100.00,59.11,0.1100,6.95,Reduce AHU,1,legacy,info,,online,valid,t,1235811a-1700-4374-bc2a-9e7d5ece97dd
2026-07-20 14:02:00.103-07,43.77,19.33,24.27,19.80,0.600,50.17,39.84,0.0600,4.20,Eco Mode,4,legacy,info,,online,valid,f,5d4c379d-cd01-47c7-8af3-9a568b66c6df
2026-07-20 14:02:00.208-07,31.63,19.09,26.28,22.62,0.480,31.82,45.42,0.0600,1.38,Maintain,2,legacy,info,,online,valid,f,347d0693-cae8-4e8a-9c5e-bc147f4d8710
2026-07-20 14:02:00.314-07,67.72,20.97,26.64,25.64,0.850,72.98,53.84,0.1300,1.64,Boost All,3,legacy,info,,online,valid,f,48c53cd8-efe2-4f44-baa4-bb9ee4706c7d
2026-07-20 14:02:00.418-07,70.11,22.21,26.39,24.98,0.820,73.48,47.29,0.1100,0.98,Increase Chiller,0,legacy,info,,online,valid,f,5f553a8f-3db4-4894-b8d1-98033009f9f7
2026-07-20 14:02:00.525-07,59.75,19.50,20.76,29.56,0.780,60.77,58.55,0.1000,5.56,Reduce AHU,1,legacy,info,,online,valid,f,6cd67784-6e37-4d0f-a5a1-361b4029d208
2026-07-20 14:02:00.632-07,40.99,19.65,24.52,18.00,0.530,44.09,34.51,0.0600,6.00,Eco Mode,4,legacy,info,,online,valid,f,00c98e4a-2080-4d87-910b-882cc1aec10d
2026-07-20 14:02:00.739-07,64.58,20.87,28.75,24.99,0.780,63.70,53.78,0.0700,0.99,Boost All,3,legacy,info,,online,valid,f,0c975560-28f5-40e3-8c5f-4886dd614a94
2026-07-20 14:02:00.845-07,100.00,24.82,29.78,21.44,0.960,90.90,47.24,0.1000,2.56,Eco Mode,4,legacy,info,,online,valid,f,2e93e742-54a6-41f9-92cd-7a35e4f0aaf0
2026-07-20 14:02:00.952-07,73.35,23.94,31.05,27.69,0.900,77.48,56.90,0.1300,3.69,Reduce AHU,1,legacy,info,,online,valid,f,2221ee9c-da9a-4839-88a6-988cf5615f38
2026-07-20 14:02:01.06-07,50.72,20.75,26.91,21.76,0.560,41.48,46.58,0.0700,2.24,Maintain,2,legacy,info,,online,valid,f,ff368164-d8e3-4f9d-ac07-f321225f9b35
2026-07-20 14:02:01.167-07,35.84,18.33,22.48,23.74,0.460,29.79,45.34,0.0400,0.26,Reduce AHU,1,legacy,info,,online,valid,f,d75a2bf0-d8ad-45c1-8e36-869e599e7320
2026-07-20 14:02:01.273-07,61.92,19.54,23.84,24.55,0.710,59.51,47.24,0.0900,0.55,Increase Chiller,0,legacy,info,,online,valid,f,e01d2aa1-0756-401a-842b-c4aef92e11b2
2026-07-20 14:02:01.379-07,67.88,22.53,30.07,26.27,0.840,71.27,53.45,0.1100,2.27,Eco Mode,4,legacy,info,,online,valid,f,662b5750-b8dd-4bec-99af-a3ecb2e90910
2026-07-20 14:02:01.485-07,63.89,22.42,28.21,25.73,0.770,64.39,50.11,0.0800,1.73,Boost All,3,legacy,info,,online,valid,f,5fc4b701-fae3-4bb1-b68b-ffa3cdd53b31
2026-07-20 14:02:01.591-07,85.31,23.20,27.54,24.66,0.880,76.97,52.18,0.0900,0.66,Boost All,3,legacy,info,,online,valid,f,03c5d862-2e2c-4670-afc4-d40b1bcd688e
2026-07-20 14:02:01.697-07,62.51,21.93,28.72,27.92,0.830,70.73,52.67,0.0800,3.92,Increase Chiller,0,legacy,info,,online,valid,f,928f4d01-e8a2-4f7e-b9d4-2da774b51ccb
2026-07-20 14:02:01.803-07,51.81,17.92,24.23,25.45,0.680,51.50,54.48,0.0800,1.45,Maintain,2,legacy,info,,online,valid,f,04481a6f-7e8d-41b5-a996-02f18ed1eba7
2026-07-20 14:02:01.908-07,100.00,26.76,31.76,25.78,1.040,100.00,47.87,0.0900,1.78,Reduce AHU,1,legacy,info,,online,valid,f,ffd35c3c-e8be-4fc4-8b1d-b9e933efdab1
2026-07-20 14:02:02.016-07,48.47,20.67,24.49,25.15,0.650,46.38,54.96,0.0700,1.15,Increase Chiller,0,legacy,info,,online,valid,f,3307bb74-d553-4cf5-8f91-fce2a69c20d9
2026-07-20 14:02:02.121-07,65.92,20.32,23.32,20.59,0.740,66.24,41.91,0.0700,3.41,Increase Chiller,0,legacy,info,,online,valid,f,0931f3b8-0b10-4684-be2b-2a99d6239a4a
2026-07-20 14:02:02.228-07,64.94,23.20,25.58,27.05,0.750,61.37,51.69,0.1000,3.05,Reduce AHU,1,legacy,info,,online,valid,f,c76316cc-87f9-426a-b46a-34fe64679d2b
2026-07-20 14:02:02.335-07,47.89,20.30,26.69,28.01,0.650,44.67,58.49,0.0600,4.01,Boost All,3,legacy,info,,online,valid,f,8b58411f-d53c-45ec-a078-84c22e847aec
2026-07-20 14:02:02.442-07,100.00,23.64,27.03,18.04,0.930,93.53,37.01,0.0900,5.96,Boost All,3,legacy,info,,online,valid,f,a079d2ec-a812-43dd-a5f8-2c8f8cd37cad
2026-07-21 10:09:38.215-07,39.41,18.93,22.85,19.13,0.540,42.51,40.15,0.0600,4.87,Maintain,2,legacy,info,,online,valid,f,5b0c6659-8be5-440d-895c-4266078900a5
2026-07-21 10:09:40.223-07,85.02,23.38,27.07,21.00,0.980,94.08,46.18,0.0900,3.00,Maintain,2,legacy,info,,online,valid,f,8777d15c-e90e-4b2e-b87a-0cd8d6def6f9
2026-07-21 10:09:42.229-07,27.70,16.22,21.87,20.95,0.390,24.57,39.55,0.0300,3.05,Boost All,3,legacy,info,,online,valid,f,42a29343-faa7-4f2d-b681-9c819be66ce2
2026-07-21 10:09:44.233-07,69.42,21.23,28.13,26.54,0.790,67.84,49.21,0.0900,2.54,Boost All,3,legacy,info,,online,valid,f,17641f50-685f-46f9-b25d-e62b33e87904
2026-07-21 10:09:46.238-07,96.75,26.06,35.78,28.38,1.100,100.00,60.55,0.1000,4.38,Increase Chiller,0,legacy,info,,online,valid,t,2d261a16-69a3-40ed-945d-06d61ea18aae
2026-07-21 10:09:48.244-07,84.67,23.97,29.94,22.46,0.870,77.63,49.89,0.0800,1.54,Boost All,3,legacy,info,,online,valid,f,e61a21a0-f4fc-431b-9cd0-ffaf8abd3570
2026-07-21 10:18:53.051-07,65.00,22.05,24.59,19.22,0.640,55.62,39.83,0.0700,4.78,Increase Chiller,0,legacy,info,,online,valid,f,7fc063ac-7026-4401-a9eb-247ea21ed3a4
2026-07-21 10:18:53.561-07,72.86,21.87,22.15,25.75,0.830,71.86,51.52,0.1200,1.75,Increase Chiller,0,legacy,info,,online,valid,f,6b7e2fd5-57e1-448a-aade-458c52c5689a
2026-07-21 10:18:54.067-07,87.26,23.83,27.23,25.68,0.890,82.25,47.24,0.1000,1.68,Boost All,3,legacy,info,,online,valid,f,c2caa3dc-dfcc-446b-a104-6719e04aada3
2026-07-21 10:18:54.571-07,48.97,21.08,25.76,24.14,0.710,57.37,49.22,0.0700,0.14,Eco Mode,4,legacy,info,,online,valid,f,4d32fb02-29ee-4d8b-a734-a5edcd3b6d7d
2026-07-21 10:18:55.076-07,72.19,20.77,25.28,22.54,0.890,79.95,49.27,0.0800,1.46,Maintain,2,legacy,info,,online,valid,f,fcb1b667-822f-49d8-baab-8d61cac413c5
2026-07-21 10:18:55.579-07,77.13,21.87,27.78,27.40,0.870,76.03,52.05,0.1000,3.40,Boost All,3,legacy,info,,online,valid,f,2b1c97ae-2ce1-4c30-ab14-b141bab61954
2026-07-21 10:18:56.084-07,78.73,22.43,28.64,24.78,0.930,85.85,49.25,0.1100,0.78,Increase Chiller,0,legacy,info,,online,valid,f,f6659a51-efad-4c15-89c2-8cbff55cb381
2026-07-21 10:18:56.59-07,42.81,19.99,26.85,24.53,0.680,52.58,50.98,0.0900,0.53,Maintain,2,legacy,info,,online,valid,f,8ce986a0-090a-49a4-9721-d43646d6a9b8
2026-07-21 10:18:57.094-07,44.62,19.83,25.61,21.72,0.520,37.38,43.47,0.0600,2.28,Eco Mode,4,legacy,info,,online,valid,f,3515064b-a9d0-407d-bbba-4cc67bf93bf5
2026-07-21 10:18:57.6-07,50.98,20.78,24.70,21.43,0.640,56.09,38.00,0.0500,2.57,Increase Chiller,0,legacy,info,,online,valid,f,652aaa92-0bf7-40c0-a5c1-287fc63c458b
2026-07-21 10:18:58.108-07,44.87,19.82,27.49,22.47,0.530,38.47,43.79,0.0600,1.53,Eco Mode,4,legacy,info,,online,valid,f,233097ee-874e-4343-b408-2e98f1afdb57
2026-07-21 10:18:58.614-07,49.49,22.63,27.79,23.07,0.600,46.70,45.97,0.0700,0.93,Eco Mode,4,legacy,info,,online,valid,f,72eb9ee5-ab62-4ed2-ae05-5aa0a223723c
2026-07-21 10:18:59.118-07,67.51,21.88,24.08,28.08,0.800,66.24,54.51,0.0700,4.08,Boost All,3,legacy,info,,online,valid,f,1d563cc7-493c-4ec7-9c74-3bf7090555a6
2026-07-21 10:18:59.625-07,85.11,24.09,29.41,22.27,0.910,88.56,41.20,0.0800,1.73,Maintain,2,legacy,info,,online,valid,f,cc9548cd-98f2-48ec-8253-a8ebaf722047
2026-07-21 10:19:00.129-07,42.58,19.75,23.72,24.39,0.630,46.53,51.54,0.0800,0.39,Maintain,2,legacy,info,,online,valid,f,772a1e13-46e6-437d-a536-e42a6e079010
2026-07-21 10:19:00.635-07,63.68,20.25,27.60,20.94,0.760,69.54,41.42,0.0800,3.06,Eco Mode,4,legacy,info,,online,valid,f,baedf230-97d2-4cf9-bdf4-dfd6301ab4da
2026-07-21 10:19:01.142-07,84.73,23.81,29.84,21.17,0.820,76.34,40.99,0.1100,2.83,Maintain,2,legacy,info,,online,valid,f,9450540b-b768-46ab-a604-f9e2d25405a6
2026-07-21 10:19:01.646-07,55.25,20.62,24.31,27.57,0.700,50.40,59.82,0.0700,3.57,Increase Chiller,0,legacy,info,,online,valid,f,89d33343-4eb4-4249-996a-b289c0092c25
2026-07-21 10:19:02.151-07,47.56,19.08,21.25,21.32,0.600,50.40,39.69,0.0700,2.68,Boost All,3,legacy,info,,online,valid,f,86205b08-2f68-458f-b5ec-edfda0281afa
2026-07-21 10:19:02.654-07,68.56,22.59,25.80,21.23,0.680,59.09,42.08,0.0700,2.77,Boost All,3,legacy,info,,online,valid,f,0098a58e-d217-4d36-ae2e-d17d3380f5d7
2026-07-21 10:19:03.161-07,51.34,19.80,25.97,22.09,0.560,44.88,39.89,0.0800,1.91,Maintain,2,legacy,info,,online,valid,f,6ca7ee5f-7b12-4f79-a1a2-ea07cf12f9aa
2026-07-21 10:19:03.665-07,50.65,20.62,25.55,21.63,0.660,52.36,47.81,0.0900,2.37,Maintain,2,legacy,info,,online,valid,f,9d48822c-ba23-4a7e-86a9-84d72d5ecd25
2026-07-21 10:19:04.169-07,73.46,24.29,29.88,26.26,0.880,76.08,53.62,0.0700,2.26,Maintain,2,legacy,info,,online,valid,f,0b87892a-d089-48eb-b768-97db03e24a34
2026-07-21 10:19:04.679-07,82.78,24.13,32.77,24.98,0.990,91.86,51.50,0.1400,0.98,Eco Mode,4,legacy,info,,online,valid,f,1eab6298-a8c8-4280-add5-292be421a9d1
2026-07-21 10:19:05.185-07,88.20,24.48,27.10,21.95,1.010,96.81,47.38,0.1300,2.05,Increase Chiller,0,legacy,info,,online,valid,f,4ff25169-5017-4a73-953d-edb45d97f7ff
2026-07-21 10:19:05.691-07,62.78,22.60,31.05,25.31,0.820,71.04,50.20,0.1000,1.31,Reduce AHU,1,legacy,info,,online,valid,f,ae79c80c-dcc1-44d8-baaa-ecfd1cdd07aa
2026-07-21 10:19:06.194-07,80.89,24.65,33.12,20.62,0.890,83.79,43.02,0.0800,3.38,Reduce AHU,1,legacy,info,,online,valid,f,214f3371-8ed2-46da-bc8e-758ea1b694b8
2026-07-21 10:19:06.701-07,70.29,20.55,31.54,22.54,0.780,70.27,42.88,0.1000,1.46,Reduce AHU,1,legacy,info,,online,valid,f,7d9fedaa-99c5-4fdc-a794-90b03d9af03d
2026-07-21 10:19:07.202-07,71.99,22.45,25.78,25.24,0.870,78.83,47.79,0.0800,1.24,Boost All,3,legacy,info,,online,valid,f,bcac7496-e0b3-418f-84f5-ba1bb2008feb
2026-07-21 10:19:07.708-07,92.63,23.45,24.44,22.58,0.900,83.60,46.66,0.0700,1.42,Eco Mode,4,legacy,info,,online,valid,f,1f1a0fcb-b5d1-4606-a79a-f3f1e6bc8a1d
2026-07-21 10:19:08.214-07,46.85,20.03,23.40,23.00,0.590,45.57,45.93,0.0600,1.00,Increase Chiller,0,legacy,info,,online,valid,f,f084fd09-fb30-4073-9c45-53eb1ddd842f
2026-07-21 10:19:08.719-07,96.35,24.11,27.89,21.85,1.040,100.00,48.31,0.1300,2.15,Reduce AHU,1,legacy,info,,online,valid,f,8cc2861f-f5f6-4aaf-92e4-9223540426ef
2026-07-21 10:19:09.224-07,63.55,22.44,25.63,25.43,0.770,66.95,47.43,0.1000,1.43,Increase Chiller,0,legacy,info,,online,valid,f,93b1d28d-8848-4be9-a240-263a39cc8955
2026-07-21 10:19:09.731-07,51.79,19.00,24.48,22.66,0.600,46.08,45.38,0.0800,1.34,Eco Mode,4,legacy,info,,online,valid,f,0082d2cb-4981-48d5-8f03-714f03a2debf
2026-07-21 10:19:10.236-07,80.73,23.51,29.46,23.49,0.910,85.78,43.80,0.0900,0.51,Increase Chiller,0,legacy,info,,online,valid,f,9f86cebd-4e90-4928-9648-3d08613e3757
2026-07-21 10:19:10.74-07,18.26,17.47,21.26,25.86,0.410,20.00,50.58,0.0400,1.86,Maintain,2,legacy,info,,online,valid,f,e7d5dfac-e725-42b7-a7c8-5c57897c8d16
2026-07-21 10:19:11.242-07,92.17,24.10,27.95,23.10,1.000,96.54,45.52,0.1500,0.90,Boost All,3,legacy,info,,online,valid,t,994663e2-1a04-45bf-971c-699a358733a8
2026-07-21 10:19:11.744-07,70.88,22.31,28.41,22.15,0.840,79.41,41.04,0.0900,1.85,Reduce AHU,1,legacy,info,,online,valid,f,de82cda1-12f8-4b29-991f-2e985efde6f9
2026-07-21 10:19:12.25-07,98.23,23.97,29.22,30.95,1.100,100.00,59.11,0.1100,6.95,Reduce AHU,1,legacy,info,,online,valid,t,36e63bc8-2d0b-41f6-8dbb-02d958fa5516
2026-07-21 10:19:12.757-07,36.30,17.55,19.21,20.91,0.430,27.23,41.68,0.0600,3.09,Increase Chiller,0,legacy,info,,online,valid,f,5941baef-28b6-4f9d-9cbf-e342f21b2847
2026-07-21 10:19:13.262-07,73.15,23.08,27.08,19.70,0.820,76.73,41.18,0.1000,4.30,Increase Chiller,0,legacy,info,,online,valid,f,46176d64-3717-4d53-bfc3-e32eec90182c
2026-07-21 10:19:13.769-07,91.43,23.69,25.97,19.71,0.860,85.56,35.49,0.0800,4.29,Increase Chiller,0,legacy,info,,online,valid,f,84c33c4e-dde1-4390-99cb-ab91f4962dfe
