Timestamp,Server_Workload(%),Inlet_Temperature(°C),Outlet_Temperature(°C),Ambient_Temperature(°C),Cooling_Unit_Power_Consumption(kW),Chiller_Usage(%),AHU_Usage(%),Total_Energy_Cost($),Temperature_Deviation(°C),Cooling_Strategy_Action,Output,scenario,severity,failure_point,sensor_status,data_quality,is_outlier,event_id,run_id
2026-07-29 11:22:09.332-07,88.20,24.48,27.10,21.95,1.010,96.81,47.38,0.1300,2.05,Increase Chiller,0,normal,info,,online,valid,f,cbf79abb-b2ca-42c1-98c4-e5855079d0fe,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:09.387-07,100.00,23.99,30.44,21.09,1.030,100.00,45.99,0.1000,2.91,Eco Mode,4,normal,info,,online,valid,f,6f70a98e-4331-4d7b-aed9-df0ee5e36862,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:09.44-07,60.38,20.67,25.58,22.24,0.770,65.82,48.79,0.1100,1.76,Boost All,3,normal,info,,online,valid,f,3cf7891f-395e-4de7-b6cb-364de2dc29be,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:09.497-07,72.91,20.82,24.27,23.26,0.920,82.27,51.41,0.1300,0.74,Eco Mode,4,normal,info,,online,valid,f,f3347502-d696-4d64-90db-d1b08c2f6da2,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:09.552-07,95.63,25.47,31.66,25.83,1.070,100.00,53.73,0.1500,1.83,Eco Mode,4,outlier,warning,,online,valid,t,d81fa1ec-0700-4bc2-aa19-986714e1546f,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:09.609-07,71.07,21.90,26.23,24.35,0.840,73.72,50.19,0.1000,0.35,Maintain,2,normal,info,,online,valid,f,42720b02-509f-4f9b-a1e5-0b87ea28d543,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:09.666-07,73.80,23.40,29.51,25.36,0.740,63.99,46.11,0.1000,1.36,Maintain,2,normal,info,,online,valid,f,b87e9e70-5a5e-4349-b959-615b73ca67ad,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:09.722-07,34.51,19.02,21.10,21.06,0.460,29.19,45.42,0.0600,2.94,Boost All,3,normal,info,,online,valid,f,401b61bc-3128-4eab-9c89-956d701dc74b,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:09.778-07,38.61,18.42,26.11,28.69,0.640,44.87,55.63,0.0600,4.69,Reduce AHU,1,normal,info,,online,valid,f,216e1b1f-0fe7-443a-8013-010ac3e35f87,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:09.835-07,71.95,21.06,27.78,22.20,0.760,70.53,39.76,0.0800,1.80,Boost All,3,normal,info,,online,valid,f,6251ba82-a89a-4beb-b085-1bea00335c30,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:09.891-07,59.61,99.99,28.38,24.12,0.780,68.68,46.52,0.0700,0.12,Boost All,3,sensor_fault,critical,inlet_temperature_sensor,fault,suspect,t,311c9233-fed8-45df-a008-a784fb42a956,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:09.948-07,53.27,19.55,25.22,23.75,0.720,61.99,45.72,0.0900,0.25,Maintain,2,normal,info,,online,valid,f,542dff4d-ddd6-4992-995c-bcd7fe491395,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.005-07,90.39,24.76,28.96,27.15,0.990,89.08,56.45,0.1200,3.15,Increase Chiller,0,normal,info,,online,valid,f,499b9aff-1f0f-436b-a72f-619b38f9e458,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.061-07,74.42,24.29,26.72,24.47,0.760,64.73,48.98,0.1100,0.47,Maintain,2,normal,info,,online,valid,f,aa172804-fe2f-4cd1-99c3-d5f204307d39,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.118-07,78.57,21.02,29.20,21.33,0.780,68.92,46.25,0.0600,2.67,Boost All,3,normal,info,,online,valid,f,9eccf06c-5a08-4e00-ad31-30dcd9e4a7d3,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.173-07,45.04,20.70,26.67,22.40,0.580,43.97,45.50,0.0700,1.60,Eco Mode,4,normal,info,,online,valid,f,393f8cf0-2b04-4dbd-9c14-ede5ee005bbe,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.229-07,25.48,15.87,18.27,23.52,0.500,33.80,45.96,0.0500,0.48,Eco Mode,4,outlier,warning,,online,valid,t,053262ad-54bb-4c2f-9a37-fbc18adfcff0,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.282-07,46.17,18.41,26.25,23.35,0.610,44.42,51.57,0.0600,0.65,Increase Chiller,0,normal,info,,online,valid,f,af5c67ae-bcee-43e7-a24d-b3b5d1062ed6,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.333-07,76.24,23.25,23.31,24.67,0.890,79.94,49.97,0.1000,0.67,Eco Mode,4,normal,info,,online,valid,f,4c806ec6-9981-4965-9df0-abba2167629d,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.387-07,69.42,21.23,28.13,26.54,0.790,67.84,49.21,0.0900,2.54,Boost All,3,normal,info,,online,valid,f,cb3d5ac1-8710-45f7-87ad-414c27b07747,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.444-07,66.31,19.34,24.00,20.85,0.760,65.63,46.69,0.0900,3.15,Eco Mode,4,normal,info,,online,valid,f,7a9b2209-aa35-4f0a-a76f-4c2bd83a5b16,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.497-07,83.43,24.17,25.94,25.78,0.880,75.33,54.66,0.0800,1.78,Eco Mode,4,normal,info,,online,valid,f,68438152-b561-4712-8882-662e9552ca30,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.554-07,65.73,20.28,27.69,22.00,0.700,62.33,39.48,0.0900,2.00,Maintain,2,normal,info,,online,valid,f,b02250e4-ba41-41a6-bd9e-785fd23f71e8,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.61-07,47.20,20.54,27.36,24.39,0.530,37.70,45.67,0.0500,0.39,Boost All,3,normal,info,,online,valid,f,8bc9568f-9235-407d-be11-d54b155bc327,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.666-07,98.93,27.07,33.27,22.06,1.090,90.00,60.60,0.1100,1.94,Boost All,3,workload_spike,warning,,online,valid,t,f2a79493-78a8-445e-a99c-c3b33e817248,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.722-07,88.56,24.41,30.63,25.47,0.950,89.65,46.22,0.1300,1.47,Boost All,3,normal,info,,online,valid,f,2bed18a9-b634-4f75-b928-6bb3210ae365,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.774-07,50.52,20.87,24.55,23.45,0.690,60.38,42.27,0.1000,0.55,Maintain,2,normal,info,,online,valid,f,4f35550c-f4e0-4090-90da-bc82d2f61e30,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.83-07,54.22,22.15,26.17,24.38,0.680,52.13,53.51,0.0700,0.38,Reduce AHU,1,normal,info,,online,valid,f,a0b00dee-8113-4d9e-9026-4963ec39c7a7,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.885-07,97.88,24.59,32.96,22.79,0.960,90.55,46.51,0.1400,1.21,Reduce AHU,1,normal,info,,online,valid,f,8bd53903-ab50-44f6-818b-516f70b13ebd,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.941-07,67.74,23.49,28.74,26.95,0.860,75.32,51.69,0.1300,2.95,Reduce AHU,1,normal,info,,online,valid,f,f5b51286-a485-481c-85b1-4addf12299af,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:10.993-07,94.83,26.74,33.44,28.45,1.010,90.19,66.08,0.1000,4.45,Boost All,3,workload_spike,warning,,online,valid,t,4b7f8f82-f68f-4aa4-9474-8231b3627596,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.05-07,66.26,21.69,27.17,23.07,0.690,59.45,42.68,0.1000,0.93,Maintain,2,normal,info,,online,valid,f,3bccfb9a-b127-4c52-800d-54bf56429466,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.105-07,66.99,22.06,29.39,22.21,0.700,58.44,47.26,0.0900,1.79,Reduce AHU,1,normal,info,,online,valid,f,da77201a-535f-423f-99a5-511588891f3e,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.16-07,46.00,17.73,25.74,23.77,0.610,45.51,48.86,0.0500,0.23,Eco Mode,4,normal,info,,online,valid,f,96f97ec2-eac5-492e-bdb5-d3cb7cb796ef,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.216-07,66.93,21.32,23.98,23.23,0.780,69.85,45.13,0.0700,0.77,Reduce AHU,1,normal,info,,online,valid,f,193b9b9e-a349-423b-ae11-b489739d7db1,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.273-07,79.66,99.99,26.49,22.55,0.810,73.86,43.04,0.1100,1.45,Reduce AHU,1,sensor_fault,critical,inlet_temperature_sensor,fault,suspect,t,4362f4e9-b0cb-4944-903c-e05f4cadb8ed,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.326-07,95.05,26.64,32.11,20.23,1.030,98.47,62.09,0.1000,3.77,Boost All,3,workload_spike,warning,,online,valid,t,732c6059-7c55-43e4-b3ac-61af1ddb89ff,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.381-07,53.29,21.72,25.57,24.30,0.630,50.38,45.25,0.0900,0.30,Maintain,2,normal,info,,online,valid,f,24006ccb-810a-488d-9488-6bca8d2f86bf,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.437-07,23.59,16.79,23.85,23.64,0.440,25.57,47.16,0.0600,0.36,Boost All,3,normal,info,,online,valid,f,a2338775-e68b-482f-bc53-57f7a9fe2d3e,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.493-07,62.82,20.28,22.88,24.91,0.680,53.38,51.08,0.0700,0.91,Increase Chiller,0,normal,info,,online,valid,f,3623551d-1dd9-41b8-87cb-210f57c08491,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.549-07,48.97,21.08,25.76,24.14,0.710,57.37,49.22,0.0700,0.14,Eco Mode,4,normal,info,,online,valid,f,bc49b74c-bb7a-4bee-95c6-e184f651b78a,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.605-07,51.61,19.79,21.85,24.34,0.700,58.45,46.88,0.1000,0.34,Reduce AHU,1,normal,info,,online,valid,f,81628ead-88ee-45cb-9746-e31f76b73f17,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.659-07,57.36,20.15,28.03,21.07,0.660,58.23,38.54,0.0600,2.93,Boost All,3,normal,info,,online,valid,f,ae55d35e-023d-4aca-af09-739a8177aa64,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.715-07,66.75,99.99,25.49,27.65,0.820,69.99,52.38,0.1000,3.65,Boost All,3,sensor_fault,critical,inlet_temperature_sensor,fault,suspect,t,d1190c7c-a59b-4a13-90b5-60ef6f525c27,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.77-07,64.37,23.08,28.46,23.32,0.760,63.75,50.49,0.1000,0.68,Eco Mode,4,normal,info,,online,valid,f,fff73da6-d511-44d6-94f8-09b1fedfdd1d,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.826-07,75.02,22.12,28.77,28.36,0.830,70.73,52.61,0.1200,4.36,Eco Mode,4,normal,info,,online,valid,f,6b7fa355-f759-4728-84dd-376efe49c4d4,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.882-07,57.40,22.07,28.72,27.65,0.750,61.27,52.56,0.0700,3.65,Reduce AHU,1,normal,info,,online,valid,f,4c10a79d-9105-4adf-8567-112567d016c5,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.938-07,71.99,22.45,25.78,25.24,0.870,78.83,47.79,0.0800,1.24,Boost All,3,normal,info,,online,valid,f,0072c02a-8abe-4f60-b479-4356a7883ada,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:11.993-07,21.34,17.92,22.56,28.99,0.450,20.00,57.24,0.0500,4.99,Reduce AHU,1,normal,info,,online,valid,f,71b2fcf8-33d7-4ee5-ae42-bffd8e2cd731,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.049-07,47.31,17.64,22.38,24.57,0.710,56.85,50.71,0.1100,0.57,Increase Chiller,0,normal,info,,online,valid,f,42c30c46-fb5f-42da-947a-71c53b6fc806,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.106-07,75.08,22.75,25.24,24.62,0.870,79.99,46.40,0.1000,0.62,Eco Mode,4,normal,info,,online,valid,f,b37224c9-0142-4b67-be51-694206cd1c8e,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.159-07,65.47,22.63,29.56,26.11,0.810,70.03,49.65,0.1100,2.11,Maintain,2,normal,info,,online,valid,f,d16b66eb-0010-41ff-9655-09876911db72,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.216-07,73.51,20.85,23.31,26.87,0.930,80.50,57.22,0.1000,2.87,Eco Mode,4,normal,info,,online,valid,f,815bad8d-5e43-407d-b768-e6f23f595685,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.272-07,43.80,19.59,24.90,27.19,0.600,40.86,54.77,0.0800,3.19,Boost All,3,normal,info,,online,valid,f,8d9d4732-2461-40fb-b72c-ebf8356ab4c0,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.327-07,99.03,27.02,31.98,21.02,1.050,95.42,59.73,0.1100,2.98,Boost All,3,workload_spike,warning,,online,valid,t,3d760220-f8d9-4f28-a593-bd3c7f3c6bef,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.383-07,83.15,21.58,30.95,23.95,0.850,73.20,52.01,0.1200,0.05,Maintain,2,normal,info,,online,valid,f,51fdfa0b-2b2a-402a-9ebf-c54afbb59bbd,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.439-07,46.99,20.27,26.16,26.10,0.610,44.95,49.09,0.0500,2.10,Reduce AHU,1,normal,info,,online,valid,f,20f8abb1-e355-492d-8e1c-462d67872a59,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.495-07,95.18,23.51,31.53,21.88,0.970,90.62,48.49,0.1200,2.12,Maintain,2,normal,info,,online,valid,f,3f92a7ce-dbfe-4e4d-a8eb-7e4460a3e779,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.548-07,68.20,21.91,27.06,21.36,0.730,66.07,39.42,0.0900,2.64,Eco Mode,4,normal,info,,online,valid,f,c0d3046a-7c52-4540-b623-fc98ce36a0f6,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.604-07,61.80,22.40,29.60,25.05,0.780,64.06,53.16,0.0800,1.05,Eco Mode,4,normal,info,,online,valid,f,338e4c91-58a7-4db1-bcbb-17e82cdd28a6,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.656-07,58.23,21.37,26.07,24.57,0.740,63.77,46.92,0.0700,0.57,Eco Mode,4,normal,info,,online,valid,f,9cf19d4e-2ea5-44ee-9e75-6a45d9893383,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.709-07,45.47,19.55,24.94,25.18,0.560,40.87,46.73,0.0800,1.18,Eco Mode,4,normal,info,,online,valid,f,601cb81d-de06-4a88-ad35-819f64cccd96,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.765-07,31.33,17.87,23.66,23.63,0.450,28.44,45.06,0.0600,0.37,Maintain,2,normal,info,,online,valid,f,cd878d3e-7cdd-4b0c-9e4e-2b4f9b7a18c0,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.823-07,83.43,24.17,25.94,25.78,0.880,75.33,54.66,0.0800,1.78,Eco Mode,4,normal,info,,online,valid,f,df087968-4781-48c6-a33f-b329544ce948,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.879-07,93.44,24.90,30.19,23.12,0.930,85.41,48.45,0.1200,0.88,Boost All,3,normal,info,,online,valid,f,10ea7d9c-0d65-4fd1-968d-2811eb62c6bc,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.935-07,75.99,23.29,28.36,26.06,0.840,73.86,49.87,0.0700,2.06,Reduce AHU,1,normal,info,,online,valid,f,e361d2ac-3d35-4e4b-b443-fbca1c2df6d3,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:12.99-07,100.00,25.31,31.40,23.01,1.030,100.00,46.45,0.1500,0.99,Boost All,3,outlier,warning,,online,valid,t,852e7bf5-7d85-4ef2-a5c0-520013db392a,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.047-07,89.38,24.94,29.98,21.00,0.920,87.90,42.82,0.1300,3.00,Increase Chiller,0,normal,info,,online,valid,f,7ce8de63-e735-41a5-953a-58f4cc76fe32,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.105-07,58.53,19.35,22.57,19.09,0.670,59.73,38.70,0.1000,4.91,Boost All,3,normal,info,,online,valid,f,5dafc3ba-33f2-43f2-8226-c907eec89d53,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.157-07,84.59,24.42,32.50,23.54,0.960,91.06,45.53,0.1100,0.46,Eco Mode,4,normal,info,,online,valid,f,3cc05e3a-56fc-4696-8489-591861c0951a,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.211-07,14.80,16.54,19.12,22.21,0.390,20.00,45.84,0.0300,1.79,Maintain,2,normal,info,,online,valid,f,3ce67e8c-e28b-4481-8270-0e793fa8cd22,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.267-07,54.25,20.53,27.45,24.17,0.690,58.97,43.80,0.1000,0.17,Boost All,3,normal,info,,online,valid,f,9c5bf178-3f50-415a-99b5-9163e314da0f,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.323-07,41.90,19.97,26.28,21.37,0.610,48.53,44.70,0.0500,2.63,Eco Mode,4,normal,info,,online,valid,f,014f0e8b-296c-4838-a55e-a24b92129f1f,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.378-07,98.12,24.51,27.51,25.49,0.960,90.51,46.58,0.0800,1.49,Boost All,3,normal,info,,online,valid,f,92341074-d92c-4ec8-b7bf-8d23fccc4123,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.435-07,67.99,21.11,21.11,25.05,0.860,77.60,48.34,0.0800,1.05,Boost All,3,normal,info,,online,valid,f,64e6229a-37fd-4f23-bdec-4d7898916b57,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.49-07,50.64,19.41,24.99,27.11,0.750,58.59,56.18,0.1100,3.11,Maintain,2,normal,info,,online,valid,f,4e46608d-97b8-4dc9-a4c5-dbd0b6d6bda3,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.547-07,51.82,19.86,23.55,19.73,0.570,49.61,35.22,0.0800,4.27,Reduce AHU,1,normal,info,,online,valid,f,bb2942f0-3b42-4658-ad6e-7ff9bc71ce72,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.603-07,87.54,23.28,28.33,23.47,0.900,85.37,43.74,0.0800,0.53,Maintain,2,normal,info,,online,valid,f,c2b94e85-a93a-4a4f-b971-087278e01fbc,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.658-07,47.66,19.44,25.09,26.12,0.640,49.54,48.38,0.0600,2.12,Increase Chiller,0,normal,info,,online,valid,f,68249726-e030-4ab9-9248-9e646cb532a9,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.714-07,55.85,21.58,28.94,30.51,0.760,54.37,65.55,0.0700,6.51,Maintain,2,normal,info,,online,valid,f,698485e0-6814-4217-904f-a26c90aa4769,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.77-07,65.95,22.23,26.34,24.89,0.810,67.55,53.44,0.0700,0.89,Reduce AHU,1,normal,info,,online,valid,f,109d4e6f-3843-4616-9ec0-7315ede7ded9,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.826-07,61.34,21.65,27.34,22.04,0.680,58.64,42.92,0.0800,1.96,Eco Mode,4,normal,info,,online,valid,f,4426d105-a4a0-4078-89f1-ae641d26ce42,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.883-07,61.92,19.54,23.84,24.55,0.710,59.51,47.24,0.0900,0.55,Increase Chiller,0,normal,info,,online,valid,f,6cd7bdd1-d155-4999-854a-a15c255c6ca1,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.94-07,90.88,24.65,29.45,28.83,1.060,94.94,59.80,0.1000,4.83,Eco Mode,4,normal,info,,online,valid,f,8f75eb90-d0bc-4896-9739-5281546f3a70,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:13.996-07,82.07,21.88,23.46,25.92,0.850,76.07,47.48,0.1200,1.92,Maintain,2,normal,info,,online,valid,f,8ede4bd6-214d-4e3b-ab0f-94bab5a87027,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.053-07,82.27,26.11,29.18,18.57,0.780,77.33,32.66,0.0800,5.43,Eco Mode,4,normal,info,,online,valid,f,dc55c9eb-d545-481a-ab76-ec8df55681ee,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.108-07,74.59,20.94,29.44,27.82,0.800,67.35,51.81,0.1100,3.82,Reduce AHU,1,normal,info,,online,valid,f,d0110d89-e20b-4999-a77a-66aec7756444,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.161-07,43.23,21.12,30.31,25.26,0.640,47.01,52.28,0.0800,1.26,Reduce AHU,1,normal,info,,online,valid,f,b914bea0-89c8-47db-85a2-0a9b26f85445,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.216-07,83.42,28.55,36.34,24.25,0.340,14.97,31.42,0.0400,0.25,Increase Chiller,0,cooling_failure,critical,chiller_loop,degraded,valid,t,973335e5-9b01-41ea-aff3-74b4c72ec056,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.274-07,53.66,20.41,26.97,26.15,0.680,50.38,54.97,0.0700,2.15,Maintain,2,normal,info,,online,valid,f,bcbb7046-a6b1-4613-8278-0d10ecb86825,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.331-07,100.00,25.43,29.40,19.94,1.010,100.00,42.78,0.1500,4.06,Eco Mode,4,outlier,warning,,online,valid,t,01d491b8-fb02-408f-aa32-2d355f2e6207,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.383-07,80.86,24.16,30.41,21.08,0.880,86.21,39.03,0.0900,2.92,Increase Chiller,0,normal,info,,online,valid,f,5fbf899e-9536-4c63-96ee-701634280247,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.436-07,75.04,20.92,23.12,23.50,0.840,73.33,50.30,0.1100,0.50,Reduce AHU,1,normal,info,,online,valid,f,dddbe266-5177-428a-b17e-9e7476c90006,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.488-07,57.63,20.16,22.13,25.20,0.780,64.27,54.07,0.0700,1.20,Eco Mode,4,normal,info,,online,valid,f,541c63e6-e400-4fb5-81b3-1ce53104d614,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.544-07,92.26,24.30,29.72,25.40,0.970,91.52,46.81,0.1100,1.40,Increase Chiller,0,normal,info,,online,valid,f,f03751f3-9ce7-477a-ae13-8607782f4ede,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.599-07,81.87,23.68,25.57,22.38,0.980,91.77,49.61,0.0800,1.62,Eco Mode,4,normal,info,,online,valid,f,99c556fc-845a-4d14-8f95-0f4e0ae67f5c,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.652-07,25.76,16.45,20.06,25.39,0.510,31.94,51.40,0.0600,1.39,Boost All,3,normal,info,,online,valid,f,26ee7600-9cae-45ae-b5ca-8e5d166c3215,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.71-07,100.00,24.03,28.45,23.66,0.990,94.87,46.27,0.1000,0.34,Maintain,2,normal,info,,online,valid,f,f97c71e0-80db-42d1-b61f-7acc56b53145,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.763-07,73.53,24.28,28.66,21.24,0.730,66.85,40.03,0.0700,2.76,Reduce AHU,1,normal,info,,online,valid,f,0e32e284-fd93-486b-b3e6-8c1946cb273d,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.82-07,85.51,29.90,36.03,22.27,0.360,10.64,29.89,0.0400,1.73,Increase Chiller,0,cooling_failure,critical,chiller_loop,degraded,valid,t,988d9d85-bb41-4b1c-a018-bdcfadf29a7f,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.874-07,28.67,15.00,16.28,25.10,0.450,21.71,54.72,0.0500,1.10,Reduce AHU,1,outlier,warning,,online,valid,t,2493d1fa-5a03-4664-8815-510ae6fc88f2,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.926-07,49.55,19.58,24.14,26.80,0.620,44.68,53.13,0.0900,2.80,Increase Chiller,0,normal,info,,online,valid,f,1bdd33c6-9c36-4f50-87f4-c67fccebc57a,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:14.983-07,19.31,16.29,23.38,21.45,0.430,28.15,40.83,0.0600,2.55,Eco Mode,4,normal,info,,online,valid,f,06581a00-1fb7-4e17-a9eb-eec2f330c563,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
